Pinyin,Wade-Giles,Romatzyh
gonggongqiche,kungkungchiche,gonggonqchihche
gongjiaoche,kungchiaoche,gongjiauche
gongjin,kungchin,gongjin
gongli,kungli,gonglii
gonglu,kunglu,gongluh
gongping,kungping,gongpyng
gongsi,kungssu,gongsy
gongyuan,kungyuan,gongyuan
gou,kou,goou
gou,kou,gow
guyi,kui,guhyih
guke,kuko,guhkeh
guanji,kuanchi,guanji
guanxin,kuanhsin,guanshin
guandian,kuantien,guandean
guangchang,kuangchang,goangchaang
guanggao,kuangkao,goanggaw
guoji,kuochi,gwojih
guolai,kuolai,guohlai
guonian,kuonien,guohnian
guoqu,kuochu,guohchiuh
hai,hai,hae
haibian,haipien,haebian
han,han,haan
hao,hao,hao
haoduo,haoto,haoduo
haojiu,haochiu,haojeou
haoren,haojen,haoren
haoshi,haoshih,haoshyh
haoxiang,haohsiang,haoshianq
heshi,hoshih,hershyh
he,ho,her
hei,hei,hei
heiban,heipan,heibaan
heise,heise,heiseh
hong,hung,horng
hongse,hungse,horngseh
houlai,houlai,howlai
huran,hujan,huran
hu,hu,hwu
huzhao,huchao,huhjaw
hua,hua,hua
huayuan,huayuan,huayuan
hua,hua,huah
huajia,huachia,huahjia
huar,huar,huahr
huairen,huaijen,huayren
huanying,huanying,huanyng
huan,huan,huann
huang,huang,hwang
huangse,huangse,hwangseh
hui,hui,hwei
huiguo,huikuo,hweigwo
hui,hui,huey
huodong,huotung,hwodonq
huo,huo,huoh
huozhe,huoche,huohjee
jihui,chihui,jihuey
ji,chi,ji
ji,chi,jyi
ji,chi,jyi
jihua,chihua,jihhuah
jisuanji,chisuanchi,jihsuannji
jia,chia,jia
jiayou,chiayu,jiayou
jia,chia,jia
jiating,chiating,jiatyng
jiazhang,chiachang,jiajaang
jia,chia,jea
jiaqi,chiachi,jiahchi
jiancha,chiencha,jeanchar
jiandao,chientao,jianndaw
jianguo,jianguo,jianguo
jian,chien,jiann
jiankang,chienkang,jiannkang
jiang,chiang,jeang
jianghua,chianghua,jeanghuah
jiao,chiao,jiau
jiaogei,chiaokei,jiaugeei
jiaotong,chiaotung,jiautong
jiao,chiao,jeau
jiaodu,chiaotu,jeauduh
jiaozi,chiaozi,jeauzi
jiao,chiao,jeau
jiaozuo,chiaotso,jiawtzuoh
jiaoshi,chiaoshih,jiawshy
jiaoshi,chiaoshih,jiawshyh
jiaoyu,chiaoyu,jiawyuh
jie,chieh,jie
jiedao,chiehtao,jiedaw
jieshou,chiehshou,jieshow
jiexialai,chiehhsialai,jieshiahlai
jiezhe,chiehzhe,jiezhe
jie,chieh,jie
jie,chieh,jye
jiemu,chiehmu,jyemuh
jieri,chiehjih,jyeryh
jie,chieh,jieh
jin,chin,jin
jinhou,chinhou,jinhow
jinru,chinju,jinnruh
jinxing,chinhsing,jinnshyng
jin,chin,jinn
jingchang,chingchang,jingcharng
jingguo,chingkuo,jingguoh
jingli,chingli,jinglii
jiu,chiu,jeou
jiudian,chiutien,jeoudiann
jiuyao,chiuyao,jiowyaw
ju,chu,jeu
jushou,chushou,jeushoou
juxing,chuhsing,jeushyng
ju,chu,jiuh
juzi,chuzi,jiuhzi
ka,ka,kaa
kaiji,kaichi,kaiji
kaixin,kaihsin,kaishin
kaixue,kaihsueh,kaishyue
kanfa,kanfa,kannfaa
kaosheng,kaosheng,kaosheng
kao,kao,kaw
ke,ko,ke
kexue,kohsueh,keshyue
ke’ai,koai,keeay
keneng,koneng,keeneng
kepa,kopa,keepah
keshi,koshih,keeshyh
keyi,koi,keeyii
ke,ko,keh
ke,ko,keh
keren,kojen,kehren
ketang,kotang,kehtarng
kongqi,kungchi,kongchih
ku,ku,ku
kuaican,kuaitsan,kuaytsan
kuaidianr,kuaitienr,kuaydeanr
kuaile,kuaile,kuayleh
kuaiyao,kuaiyao,kuayyaw
kuaizi,kuaizi,kuayzi
la,la,lha
laizi,laitzu,laitzyh
lan,lan,lan
lanse,lanse,lanseh
lanqiu,lanchiu,lanchyou
lao,lao,lao
lao,lao,lao
laonian,laonien,laonian
li,li,li
likai,likai,likai
liwu,liwu,liiwuh
litou,litou,liitou
lixiang,lihsiang,liisheang
liru,liju,lihru
lizi,lizi,lihzi
lian,lien,lean
lian,lien,liann
lianxi,lienhsi,liannshyi
liang,liang,liang
liangkuai,liangkuai,liangkuai
liang,liang,leang
liang,liang,lianq
liang,liang,lianq
lingxia,linghsia,lingshiah
liu,liu,liou
liuxia,liuhsia,lioushiah
liuxuesheng,liuhsuehsheng,lioushyuesheng
liu,liu,liou
liuli,liuli,lioulih
liuxing,liuhsing,lioushyng
lubian,lupien,luhbian
mai,mai,may
man,man,maan
manyi,mani,maanyih
mao,mao,mhau
mi,mi,mii
mianqian,mienchien,miannchyan
ming,ming,ming
mingcheng,mingcheng,mingcheng
mingdan,mingtan,mingdan
mingxing,minghsing,mingshing
mudi,muti,muhdih
nachu,nachu,nachu
nadao,natao,nadaw
nahuir,nahuir,nahhueyr
name,name,nahme
nashihou,nashihhou,nahshyrhou
nayang,nayang,nahyanq
nanfang,nanfang,nanfang
nanguo,nankuo,nanguoh
nankan,nankan,nankann
nanshou,nanshou,nanshow
nanti,nanti,nantyi
nanting,nanting,nanting
nenggou,nengkou,nenggow
nianji,nienchi,nianjyi
nianqing,nienching,nianching
nuli,nuli,nuulih
pa,pa,par
pashan,pashan,parshan
pa,pa,pah
pai,pai,pair
