Слова HSK1,Иероглиф,Цифровое обозначение тонов,Перевод,,,,,,
128,学生,сюэ2 шэнъ5,студент,ученик,учащийся,,,,
129,学习,сюэ2 си2,учиться,обучаться,обучение,учеба,,,
130,学校,сюэ2 сьяо4,школа,учебное заведение,училище,,,,
131,一,йи1,один,единица,первый,,,,
,依,йи1,,,,,,,
,服,фу2,,,,,,,
132,衣服,йи1 фу5,одежда,платье,костюм,,,,
.,医,йи1,,,,,,,
133,医生,йи1 шэнъ,врач,доктор,,,,,
134,医院,йи1 юэн4,больница,госпиталь,,,,,
135,院,юан3,двор,сад,учреждение,правительственный орган,,,
,椅,йи3,кресло,,,,,,
136,椅子,йи3 дзы5,стул,,,,,,
137,有,йоу3,иметь,иметься,иметь в наличии,обладать,есть,,
138,月,юэ4,луна,месяц,,,,,
139,再见,дзай4 дзъен,до свидания,,,,,,
140,怎么,дзэн3 мэ5,как? ,каким образом?,,,,,
141,怎么样,дзэн3 ме5 янъ4,как? ,каким образом?,каков?,,,,
,样,янъ4,образец,фасон,модель,проба,сорт,,
142,这,дже4,это,этот,,,,,
,中,джунъ1,внутри,в,середина,,,,
,国,гуо2,страна,государство,держава,,,,
143,中国,джунъ1 гуо2,Китай,китайский,,,,,
144,中午,джунъ1 ву3,полдень,,,,,,
145,住,джу4,жить,проживать,,,,,
.,桌,джуо1,сч.слово для банкетов,,,,,,
146,桌子,джуо1 дзы5,стол,,,,,,
147,字,дзы4,иероглиф,слово,,,,,
148,昨天,дзуо2 тъен1,вчера,вчерашний день,,,,,
149,坐,дзуо4,сидеть,садиться,ехать на (в),,,,
150,做,дзуо4,делать,изготавливать,быть кем-либо,работать кем-либо,писать,,
