Chinese,Pinyin,Wade-Giles,Romatzyh
湿,shī,shih¹,shy
实施,shíshī,shih² shih¹,shyr shy
实用,shíyòng,shih² yung⁴,shyr yonq
食堂,shí táng,shih² t'ang²,shyr tarng
使劲,shǐ jìn,shih³ chin⁴,shyy jinn
士兵,shìbīng,shih⁴ ping¹,shyh bing
市区,shì qū,shih⁴ ch'ü¹,shyh chiu
似的,shìde,shih⁴ de,shyh de
事物,shìwù,shih⁴ wu⁴,shyh wuh
事先,shìxiān,shih⁴ hsien¹,shyh shian
试卷,shìjuàn,shih⁴ chüan⁴,shyh jiuann
是否,shìfǒu,shih⁴ fou³,shyh foou
收回,shōu huí,shou¹ hui²,shou hwei
收获,shōuhuò,shou¹ huo⁴,shou huoh
收益,shōuyì,shou¹ i⁴,shou yih
手工,shǒugōng,shou³ kung¹,shoou gong
手里,shǒu lǐ,shou³ li³,shoou lii
手术,shǒushù,shou³ shu⁴,shoou shuh
手套,shǒutào,shou³ t'ao⁴,shoou taw
守,shǒu,shou³,shoou
首,shǒu,shou³,shoou
售货员,shòuhuòyuán,shou⁴ huo⁴ yüan²,show huoh yuan
叔叔,shūshu,shu¹ shu,shu shu
舒适,shūshì,shu¹ shih⁴,shu shyh
熟练,shúliàn,shu² lien⁴,shwu liann
暑假,shǔ jià,shu³ chia⁴,shuu jiah
树林,shù lín,shu⁴ lin²,shuh lin
树叶,shù yè,shu⁴ yeh⁴,shuh yeh
数据,shùjù,shu⁴ chü⁴,shuh jiuh
数码,shùmǎ,shu⁴ ma³,shuh maa
刷,shuā,shua¹,shua
刷牙,shuāyá,shua¹ ya²,shua ya
刷子,shuā zi,shua¹ zi,shua zi
帅,shuài,shuai⁴,shuay
帅哥,shuài gē,shuai⁴ ko¹,shuay ge
率先,shuài xiān,shuai⁴ hsien¹,shuay shian
睡着,shuì zháo,shui⁴ chao²,shuey jaur
顺序,shùnxù,shun⁴ hsü⁴,shuenn shiuh
说不定,shuōbudìng,shuo¹ bu ting⁴,shuo bu dinq
说服,shuōfú,shuo¹ fu²,shuo fwu
思考,sīkǎo,ssu¹ k'ao³,sy kao
似乎,sìhū,ssu⁴ hu¹,syh hu
松,sōng,sung¹,song
松树,sōng shù,sung¹ shu⁴,song shuh
塑料,sù liào,su⁴ liao⁴,suh liaw
塑料袋,sùliàodài,su⁴ liao⁴ tai⁴,suh liaw day
酸,suān,suan¹,suan
酸奶,suān nǎi,suan¹ nai³,suan nae
随手,suíshǒu,sui² shou³,swei shoou
缩短,suōduǎn,so¹ tuan³,suo doan
缩小,suō xiǎo,so¹ hsiao³,suo sheau
台阶,táijiē,t'ai² chieh¹,tair jie
台上,tái shàng,t'ai² shang⁴,tair shanq
躺,tǎng,t'ang³,taang
套餐,tào cān,t'ao⁴ ts'an¹,taw tsan
特价,tè jià,t'e⁴ chia⁴,teh jiah
特殊,tèshū,t'e⁴ shu¹,teh shu
特征,tèzhēng,t'e⁴ cheng¹,teh jeng
提供,tígōng,t'i² kung¹,tyi gong
提醒,tíxǐng,t'i² hsing³,tyi shiing
体操,tǐ cāo,t'i³ ts'ao¹,tii tsau
体检,tǐ jiǎn,t'i³ chien³,tii jean
体重,tǐ zhòng,t'i³ chung⁴,tii jonq
替,tì,t'i⁴,tih
替代,tì dài,t'i⁴ tai⁴,tih day
天真,tiānzhēn,t'ien¹ chen¹,tian jen
填,tián,t'ien²,tyan
填空,tiánkòng,t'ien² k'ung⁴,tyan konq
挑,tiāo,t'iao¹,tiau
挑选,tiāo xuǎn,t'iao¹ hsüan³,tiau sheuan
调皮,tiáopí,t'iao² p'i²,tyau pyi
挑战,tiǎozhàn,t'iao³ chan⁴,teau jann
贴,tiē,t'ieh¹,tie
停下,tíng xià,t'ing² hsia⁴,tyng shiah
挺,tǐng,t'ing³,tiing
通知书,tōng zhī shū,t'ung¹ chih¹ shu¹,tong jy shu
同情,tóngqíng,t'ung² ch'ing²,torng chyng
童话,tónghuà,t'ung² hua⁴,torng huah
童年,tóng nián,t'ung² nien²,torng nian
统计,tǒngjì,t'ung³ chi⁴,toong jih
统一,tǒngyī,t'ung³ i¹,toong i
痛快,tòngkuài,t'ung⁴ k'uai⁴,tonq kuay
投,tóu,t'ou²,tour
投入,tóurù,t'ou² ju⁴,tour ruh
投诉,tóusù,t'ou² su⁴,tour suh
投资,tóuzī,t'ou² tzu¹,tour tzy
透,tòu,t'ou⁴,tow
透明,tòumíng,t'ou⁴ ming²,tow ming
图案,tú’àn,t'u² an⁴,twu ann
途中,tú zhōng,t'u² chung¹,twu jong
土地,tǔdì,t'u³ ti⁴,tuu dih
推迟,tuīchí,t'ui¹ ch'ih²,tuei chyr
推销,tuīxiāo,t'ui¹ hsiao¹,tuei shiau
脱,tuō,t'o¹,tuo
袜子,wàzi,wa⁴ zi,wah zi
外汇,wài huì,wai⁴ hui⁴,way huey
外交官,wài jiāo guān,wai⁴ chiao¹ kuan¹,way jiau guan
外套,wài tào,wai⁴ t'ao⁴,way taw
弯,wān,wan¹,uan
晚点,wǎn diǎn,wan³ tien³,woan dean
万一,wànyī,wan⁴ i¹,wann i
王,wáng,wang²,wang
网络,wǎngluò,wang³ lo⁴,woang luoh
网址,wǎng zhǐ,wang³ chih³,woang jyy
微笑,wēixiào,wei¹ hsiao⁴,uei shiaw
微信,wēi xìn,wei¹ hsin⁴,uei shinn
围巾,wéijīn,wei² chin¹,wei jin
维持,wéichí,wei² ch'ih²,wei chyr
维护,wéihù,wei² hu⁴,wei huh
维修,wéixiū,wei² hsiu¹,wei shiou
尾巴,wěiba,wei³ ba,woei ba
未必,wèibì,wei⁴ pi⁴,wey bih
未来,wèilái,wei⁴ lai²,wey lai
位于,wèiyú,wei⁴ yü²,wey yu
味儿,wèir,wei⁴ r,wey r
喂,wèi,wei⁴,wey
稳,wěn,wen³,woen
稳定,wěndìng,wen³ ting⁴,woen dinq
问候,wènhòu,wen⁴ hou⁴,wenn how
无,wú,wu²,wu
无法,wú fǎ,wu² fa³,wu faa
无聊,wúliáo,wu² liao²,wu liau
无论,wúlùn,wu² lun⁴,wu luenn
无数,wúshù,wu² shu⁴,wu shuh
无所谓,wúsuǒwèi,wu² so³ wei⁴,wu suoo wey
无限,wú xiàn,wu² hsien⁴,wu shiann
五颜六色,wǔ yán liù sè,wu³ yan² liu⁴ se⁴,wuu yan liow seh
误会,wùhuì,wu⁴ hui⁴,wuh huey
西瓜,xīguā,hsi¹ kua¹,shi gua
吸,xī,hsi¹,shi
吸管,xī guǎn,hsi¹ kuan³,shi goan
