Chinese,Pinyin,Wade-Giles,Romatzyh
打电话,dǎ diàn huà,ta³ tien⁴ hua⁴,daa diann huah
打开,dǎ kāi,ta³ k'ai¹,daa kai
打球,dǎ qiú,ta³ ch'iu²,daa chyou
大,dà,ta⁴,dah
大学,dà xué,ta⁴ hsüeh²,dah shyue
大学生,dà xué shēng,ta⁴ hsüeh² sheng¹,dah shyue sheng
到,dào,tao⁴,daw
得到,dé dào,te² tao⁴,der daw
地,de,de,de
的,de,de,de
等,děng,teng³,deeng
地,dì,ti⁴,dih
地点,dìdiǎn,ti⁴ tien³,dih dean
地图,dìtú,ti⁴ t'u²,dih twu
弟弟,dì di,ti⁴ di,dih di
弟,dì,ti⁴,dih
第,dì ,ti⁴,dih
点,diǎn,tien³,dean
电,diàn,tien⁴,diann
电话,diàn huà,tien⁴ hua⁴,diann huah
电脑,diànnǎo,tien⁴ nao³,diann nao
电视,diànshì,tien⁴ shih⁴,diann shyh
电视机,diàn shì jī,tien⁴ shih⁴ chi¹,diann shyh ji
电影,diànyǐng,tien⁴ ying³,diann yiing
电影院,diàn yǐng yuàn,tien⁴ ying³ yüan⁴,diann yiing yuann
东,dōng,tung¹,dong
动,dòng,tung⁴,donq
动作,dòngzuò,tung⁴ tso⁴,donq tzuoh
都,dōu,tou¹,dou
读,dú,tu²,dwu
读书,dú shū,tu² shu¹,dwu shu
对,duì,tui⁴,duey
对不起,duìbuqǐ,tui⁴ bu ch'i³,duey bu chii
多,duō,to¹,duo
饿,è,e⁴,eh
儿子,érzi,erh² zi,erl zi
二,èr,erh⁴,ell
饭,fàn,fan⁴,fann
饭店,fàndiàn,fan⁴ tien⁴,fann diann
房间,fángjiān,fang² chien¹,farng jian
房子,fáng zi,fang² zi,farng zi
放,fàng,fang⁴,fanq
放假,fàng jià,fang⁴ chia⁴,fanq jiah
放学,fàng xué,fang⁴ hsüeh²,fanq shyue
飞,fēi,fei¹,fei
飞机,fēijī,fei¹ chi¹,fei ji
非常,fēicháng,fei¹ ch'ang²,fei charng
分,fēn,fen¹,fen
风,fēng,feng¹,feng
干,gān,kan¹,gan
干净,gānjìng,kan¹ ching⁴,gan jinq
干什么,gàn shén me,kan⁴ shen² me,gann shern me
高,gāo,kao¹,gau
高兴,gāoxìng,kao¹ hsing⁴,gau shinq
哥哥,gē ge,ko¹ ge,ge ge
哥,gē,ko¹,ge
歌,gē,ko¹,ge
个,gè,ko⁴,geh
给,gěi,kei³,geei
跟,gēn,ken¹,gen
工人,gōngrén,kung¹ jen²,gong ren
工作,gōngzuò,kung¹ tso⁴,gong tzuoh
关,guān,kuan¹,guan
关上,guān shàng,kuan¹ shang⁴,guan shanq
贵,guì,kuei⁴,guey
国,guó,kuo²,gwo
国家,guójiā,kuo² chia¹,gwo jia
国外,guó wài,kuo² wai⁴,gwo way
还是,háishi,hai² shi,hair shi
还有,hái yǒu,hai² yu³,hair yeou
孩子,háizi,hai² zi,hair zi
